iter	Passed	Remaining
399	76210	152420
400	76404	152237
401	76589	152036
402	76765	151817
403	76947	151609
404	77108	151361
405	77252	151080
406	77433	150872
407	77632	150698
408	77827	150516
409	77994	150281
410	78173	150069
411	78361	149876
412	78546	149675
413	78729	149472
414	78898	149240
415	79082	149040
416	79260	148827
417	79474	148681
418	79684	148529
419	79874	148337
420	80040	148103
421	80220	147893
422	80398	147683
423	80585	147487
424	80766	147279
425	80944	147068
426	81126	146863
427	81299	146643
428	81477	146431
429	81681	146267
430	81866	146068
431	82038	145845
432	82226	145653
433	82392	145421
434	82565	145201
435	82753	145008
436	82933	144802
437	83103	144577
438	83274	144355
439	83466	144168
440	83659	143985
441	83830	143763
442	84006	143549
443	84177	143329
444	84328	143073
445	84499	142853
446	84686	142659
447	84882	142482
448	85060	142272
449	85206	142010
450	85343	141735
451	85501	141494
452	85631	141207
453	85766	140929
454	85977	140776
455	86172	140597
456	86375	140430
457	86538	140199
458	86692	139953
459	86861	139732
460	87002	139468
461	87136	139192
462	87277	138927
463	87451	138716
464	87603	138470
465	87702	138140
466	87787	137790
467	87927	137526
468	88058	137251
469	88172	136948
470	88284	136643
471	88407	136356
472	88537	136081
473	88651	135782
474	88768	135488
475	88878	135184
476	88991	134886
477	89098	134579
478	89218	134292
479	89328	133993
480	89440	133696
481	89554	133403
482	89668	133110
483	89788	132827
484	89898	132531
485	90016	132246
486	90142	131974
487	90261	131693
488	90373	131401
489	90494	131124
490	90608	130837
491	90724	130554
492	90849	130285
493	90960	129996
494	91080	129721
495	91194	129437
496	91309	129155
497	91425	128877
498	91552	128613
499	91667	128334
500	91773	128043
501	91896	127776
502	91985	127463
503	92077	127155
504	92168	126845
505	92269	126551
506	92365	126250
507	92454	125942
508	92538	125626
509	92670	125377
510	92854	125198
511	93008	124979
512	93162	124761
513	93315	124541
514	93447	124293
515	93580	124048
516	93724	123817
517	93865	123583
518	94028	123378
519	94201	123186
520	94382	123005
521	94559	122819
522	94720	122611
523	94894	122421
524	95060	122220
525	95215	122005
526	95341	121754
527	95429	121455
528	95524	121166
529	95668	120938
530	95777	120668
531	95889	120402
532	96012	120150
533	96129	119891
534	96241	119627
535	96348	119356
536	96457	119090
537	96580	118840
538	96695	118581
539	96809	118322
540	96919	118059
541	97058	117831
542	97163	117562
543	97282	117310
544	97401	117060
545	97519	116809
546	97613	116529
547	97720	116265
548	97811	115983
549	97897	115697
550	97981	115407
551	98068	115124
552	98155	114840
553	98248	114563
554	98339	114286
555	98447	114029
556	98544	113759
557	98653	113504
558	98760	113247
559	98845	112965
560	98946	112703
561	99024	112415
562	99123	112152
563	99217	111884
564	99314	111618
565	99419	111364
566	99515	111099
567	99630	110856
568	99717	110583
569	99803	110309
570	99904	110052
571	100004	109795
572	100086	109518
573	100186	109262
574	100274	108993
575	100403	108770
576	100553	108569
577	100698	108364
578	100860	108176
579	101006	107972
580	101146	107762
581	101303	107570
581	103232	109618
582	103324	109350
583	103427	109094
584	103535	108844
585	103651	108604
586	103736	108331
587	103819	108057
588	103912	107793
589	104030	107557
590	104119	107290
591	104225	107041
592	104304	106766
593	104393	106502
594	104486	106242
595	104591	105995
596	104679	105731
597	104782	105482
598	104880	105230
599	104983	104983
600	105075	104726
601	105173	104474
602	105264	104217
603	105361	103966
604	105490	103746
605	105657	103564
606	105823	103382
607	105976	103188
608	106128	102991
609	106282	102798
610	106430	102598
08	118056	114566
609	118247	114370
610	118402	114139
611	118594	113943
612	118783	113745
613	118998	113571
614	119202	113387
615	119369	113168
616	119561	112972
617	119740	112765
618	119914	112552
619	120087	112340
620	120273	112138
621	120454	111933
622	120636	111729
623	120822	111528
624	121030	111347
625	121209	111140
626	121372	110919
627	121542	110704
628	121734	110509
629	121928	110316
630	122105	110107
631	122292	109908
632	122469	109699
633	122644	109490
634	122825	109285
635	123025	109098
636	123203	108891
637	123405	108705
638	123789	108679
639	124151	108632
640	124347	108440
641	124500	108210
642	124673	107998
643	124873	107810
644	125060	107610
645	125229	107394
646	125413	107192
647	125585	106980
648	125756	106767
649	125901	106532
650	126088	106333
651	126283	106139
652	126480	105949
653	126643	105730
654	126829	105529
655	126995	105313
656	127194	105124
657	127361	104908
658	127530	104694
659	127833	104590
660	128096	104453
661	128256	104232
662	128437	104028
663	128644	103845
664	128795	103617
665	129003	103435
666	129201	103245
667	129376	103036
668	129552	102828
669	129732	102623
670	129927	102431
671	130114	102233
672	130293	102027
673	130472	101822
674	130624	101596
675	130813	101399
676	130970	101178
677	131182	100998
678	131361	100794
679	131549	100596
680	131742	100402
681	131916	100194
682	132111	100002
683	132282	99791
684	132450	99579
685	132631	99377
686	132784	99153
687	132966	98951
688	133158	98757
689	133345	98559
690	133523	98355
691	133686	98139
692	133865	97935
693	134036	97726
694	134234	97537
695	134393	97319
696	134569	97114
697	134734	96900
698	134935	96713
699	135127	96519
700	135301	96313
701	135451	96089
702	135623	95882
703	135780	95663
704	135962	95462
705	136148	95265
706	136322	95059
707	136510	94862
708	136713	94677
709	136884	94469
710	137078	94277
711	137255	94073
712	137413	93857
713	137574	93643
714	137751	93440
715	137925	93234
716	138092	93024
717	138264	92818
718	138471	92635
719	138667	92444
720	138866	92256
721	139041	92052
722	139206	91841
723	139343	91612
724	139494	91392
725	139628	91162
726	139774	90939
727	139911	90712
728	140112	90525
729	140300	90330
730	140454	90114
731	140587	89883
732	140753	89675
733	140893	89450
734	141058	89241
735	141202	89018
736	141325	88783
737	141457	88554
738	141611	88339
739	141731	88103
740	141834	87856
741	141942	87614
742	142081	87390
743	142208	87159
744	142314	86916
745	142435	86683
746	142542	86441
747	142673	86214
748	142788	85978
749	142889	85733
750	143009	85501
751	143131	85269
752	143250	85036
753	143374	84807
754	143492	84575
755	143605	84339
756	143723	84107
757	143838	83873
758	143958	83644
759	144064	83405
760	144168	83166
761	144283	82934
762	144408	82708
763	144513	82470
764	144631	82241
765	144751	82013
766	144890	81795
767	144998	81561
768	145096	81322
769	145199	81085
770	145311	80854
771	145431	80627
772	145540	80395
773	145657	80168
774	145778	79943
775	145887	79711
776	146005	79485
777	146112	79253
778	146203	79013
779	146293	78773
780	146394	78539
781	146485	78300
782	146590	78069
783	146673	77826
784	146795	77605
785	146968	77410
786	147140	77215
787	147284	77006
788	147431	76798
789	147559	76581
790	147710	76376
791	147859	76169
792	148007	75963
793	148178	75768
794	148322	75560
795	148463	75350
796	148621	75149
797	148766	74942
798	148926	74743
799	149071	74535
800	149226	74333
801	149369	74126
802	149482	73903
803	149576	73671
804	149681	73446
805	149809	73231
806	149927	73013
807	150054	72798
808	150172	72580
809	150285	72359
810	150385	72133
811	150507	71917
812	150602	71689
813	150719	71471
814	150843	71257
815	150942	71031
816	151060	70815
817	151170	70595
818	151289	70380
819	151405	70163
820	151527	69950
821	151644	69734
822	151725	69502
823	151819	69277
824	151908	69049
825	152000	68823
826	152091	68597
827	152191	68375
828	152293	68155
829	152375	67926
830	152471	67703
831	152568	67482
832	152672	67263
833	152755	67036
834	152857	66818
835	152959	66599
836	153052	66377
837	153157	66160
838	153251	65940
839	153350	65721
840	153455	65506
841	153545	65284
842	153651	65069
843	153752	64852
844	153866	64642
845	153965	64425
846	154056	64205
847	154162	63991
848	154240	63767
849	154331	63548
850	154442	63337
851	154589	63142
852	154765	62958
853	154927	62769
854	155082	62577
855	155233	62383
856	155400	62196
62914
857	157293	62697
858	157379	62475
859	157466	62254
860	157563	62037
861	157657	61819
862	157753	61602
863	157844	61383
864	157951	61172
865	158047	60955
866	158150	60742
867	158243	60526
868	158331	60308
869	158426	60092
870	158510	59873
871	158602	59657
872	158712	59449
873	158817	59238
874	158907	59022
875	159002	58809
876	159103	58597
877	159200	58385
878	159307	58177
879	159398	57962
880	159525	57762
881	159665	57566
882	159807	57371
883	159955	57178
884	160115	56990
885	160263	56797
886	160414	56606
8
874	192189	71384
875	192349	71143
876	192505	70900
877	192673	70661
878	192837	70421
879	193006	70184
880	193167	69943
881	193336	69706
882	193509	69470
883	193711	69245
884	193892	69012
885	194051	68772
886	194208	68531
887	194372	68292
888	194563	68064
889	194759	67837
890	194946	67607
891	195126	67375
892	195291	67138
893	195467	66904
894	195667	66679
895	195844	66447
896	195997	66206
897	196185	65977
898	196382	65752
899	196568	65522
900	196747	65291
901	196931	65061
902	197092	64824
903	197268	64592
904	197428	64355
905	197593	64119
906	197777	63890
907	197942	63655
908	198101	63418
909	198274	63186
910	198427	62947
911	198574	62707
912	198758	62479
913	198925	62245
914	199116	62019
915	199290	61788
916	199460	61556
917	199635	61325
918	199798	61091
919	199978	60863
920	200142	60629
921	200318	60399
922	200479	60165
923	200641	59931
924	200833	59707
925	201023	59482
926	201178	59246
927	201381	59025
928	201540	58791
929	201713	58561
930	201901	58336
931	202079	58108
932	202235	57874
933	202421	57648
934	202608	57423
935	202759	57188
936	202886	56946
937	203007	56703
938	203155	56468
939	203289	56228
940	203411	55986
941	203587	55759
942	203792	55540
943	203943	55306
944	204099	55074
945	204224	54833
946	204363	54597
947	204499	54360
948	204676	54134
949	204804	53896
950	204937	53658
951	205073	53422
952	205222	53189
953	205316	52943
954	205400	52694
955	205502	52450
956	205639	52215
957	205764	51978
958	205875	51737
959	205993	51498
960	206107	51258
961	206219	51019
962	206314	50775
963	206417	50533
964	206528	50294
965	206640	50055
966	206755	49818
967	206865	49579
968	206961	49337
969	207073	49099
970	207172	48859
971	207280	48621
972	207380	48381
973	207495	48145
974	207599	47907
975	207708	47670
976	207807	47432
977	207912	47194
978	208025	46959
979	208136	46724
980	208251	46490
981	208363	46255
982	208461	46018
983	208578	45785
984	208694	45552
985	208815	45321
986	208944	45091
987	209040	44854
988	209162	44624
989	209256	44387
990	209367	44155
991	209484	43924
992	209585	43689
993	209688	43456
994	209781	43221
995	209867	42984
996	209956	42749
997	210047	42514
998	210153	42283
999	210277	42055
1000	210443	41836
1001	210582	41612
1002	210732	41390
1003	210889	41169
1004	211021	40944
1005	211169	40722
1006	211298	40497
1007	211442	40274
1008	211576	40050
1009	211736	39831
1010	211869	39607
1011	212016	39386
1012	212155	39164
1013	212301	38942
1014	212432	38719
1015	212571	38497
1016	212719	38276
1017	212855	38054
1018	212952	37825
1019	213041	37595
1020	213129	37365
1021	213258	37142
1022	213365	36916
1023	213494	36694
1024	213599	36468
1025	213716	36244
1026	213836	36021
1027	213954	35797
1028	214066	35573
1029	214184	35350
1030	214299	35127
1031	214418	34905
1032	214519	34680
1033	214632	34457
1034	214749	34235
1035	214855	34011
1036	214970	33790
1037	215073	33566
1038	215161	33340
1039	215243	33114
1040	215344	32891
1041	215428	32665
1042	215519	32441
1043	215624	32219
1044	215717	31996
1045	215806	31772
1046	215891	31548
1047	216004	31328
1048	216100	31106
1049	216205	30886
